tll_id,tll_name,tll_brand,tll_category,historical_map_status,historical_shopify_product_id,historical_shopify_variant_id,supplier_sku,supplier_feed_name,supplier_feed_size,supplier_feed_barcode,supplier_feed_tax_flag,historical_retail_gbp,supplier_feed_price_gbp,supplier_nutrition_text_present,review_flags
1932109d-814f-421d-ad6a-7a1b247a33f3,REGO Rapid Recovery,Science in Sport (SiS),post-workout,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
1972920c-69ef-401d-96a5-f4cf358d529b,100% Casein Protein,Applied Nutrition,casein,MAPPED_2026-09-14_UNVERIFIED,16033553776970,63506175197514,APP385,Applied Nutrition Casein 900g Chocolate,900g,5056555203163,VAT,49.99,19.29,YES,LIVE_SHOPIFY_AND_EXACT_LABEL_NOT_VERIFIED
1adf3959-7166-4232-b2a9-2e1a7dba2f87,Vitamin D3,Supplement Needs,vitamin,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
1b11e65b-cdff-4d12-835a-4c9c5ab9bac8,Creatine Monohydrate,Darkstims,creatine,MAPPED_2026-09-14_UNVERIFIED,16033585856842,63506368069962,DRK002,Darkstims Creatine 500g Unflavoured,500g,5065024878139,VAT,18.0,8.99,NO,MISSING_FEED_NUTRITION_TEXT|LIVE_SHOPIFY_AND_EXACT_LABEL_NOT_VERIFIED
1b8f93b6-d131-4cdc-91f8-2bb7e2a4223d,NAC N-Acetyl Cysteine,Bulk,liver-health,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
1bf26de0-bf01-4309-bcd6-897d5a269136,Hydro,HR Labs,hydration,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
1c010ee3-88f8-4fae-964d-77df836ddc7e,Intra EAA+,Supplement Needs,eaas,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
1c8e0e2d-2fdd-481c-b64f-b298575d69a1,Ultra Pre Workout,Darkstims,pre-workout,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
1cfa7540-1982-4a71-9717-0049c8ccaff0,Magnesium Glycinate 3-in-1,Nutrition Geeks,vitamin,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
1e297da8-80ab-4aff-b196-1d3be6cd845e,Prime Male,Roar Ambition,hormone-support,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
1f124bce-9367-4c83-93ee-477d4805515a,Platinum Hydrowhey,Optimum Nutrition,whey-isolate,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
1fab2546-6a25-4fd9-8e49-abf6bb6b362c,Crunch Bar (White Chocolate Crisp),Warrior,protein-bar,MAPPED_2026-09-14_UNVERIFIED,16037754110282,63535202468170,WAR039,Warrior Crunch Bars 12x64g White Chocolate,12x64g,5060424705450,VAT,23.99,15.49,YES,MULTIPACK_SUPPLIER_UNIT|LIVE_SHOPIFY_AND_EXACT_LABEL_NOT_VERIFIED
1fb58e7f-9504-4a36-863e-0e4071e0d2e3,Ashwagandha Calm+,Nutrition Geeks,vitamin,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
1fcf7e6e-24d4-4d98-964b-d6f91c3f54a0,Protein Crispy Bar,Optimum Nutrition,protein-bar,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
228c4ec5-6038-48fb-9329-c9dbbb53a3f9,Pro Night,CNP,casein,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
228c6fa7-7775-4e0f-bffa-c229a9503c1b,Complete Multivitamin Complex,Bulk,multivitamin,MAPPED_2026-09-14_UNVERIFIED,16033590378826,63506387370314,BLK106,Bulk Complete Multivitamin Complex V2 90 Tabs,90 Tabs,5055950622241,VAT,17.99,6.25,NO,MISSING_FEED_NUTRITION_TEXT|LIVE_SHOPIFY_AND_EXACT_LABEL_NOT_VERIFIED
2382ce8e-d806-46fd-8f08-13437192935b,Go Hydro,Science In Sport (SiS),hydration,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
23ceaea7-3908-423f-b772-8fa750d3704d,Organ Pro / Organ Fix,CNP Professional,cycle-support,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
24250aa6-3786-4a36-8dfa-384cba90ed01,Pro Recover,CNP Professional,post-workout,MAPPED_2026-09-14_UNVERIFIED,16033588183370,63506382422346,CNP290,CNP Professional Pro Recover 5.04kg Chocolate,5.04kg,,VAT,35.0,49.99,NO,MISSING_FEED_NUTRITION_TEXT|LIVE_SHOPIFY_AND_EXACT_LABEL_NOT_VERIFIED
2429dd22-45c3-4088-acf3-4148782bcb00,Pure Whey Isolate,Bulk,whey-isolate,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
