id,name,brand,category,serving_size,serving_unit,servings_per_container
c8c43264-f973-49a6-87c6-845123603583,Creatine Monohydrate,Applied Nutrition,creatine,5,g,100
c98931d9-0468-4856-974f-332b2b12b129,Hydramax,Strom Sports Nutrition,hydration,5,serving,90
ca25a9aa-7a1c-4e48-ad97-9774001df070,Whey,CNP,whey,30,scoop,30
ca29a5ef-6376-48ce-953c-6b034050f2f3,Vitamin D3 4000IU,Bulk,vitamin-d,1,softgel,365
cc01d814-fe1a-42a8-afbd-465348aad757,Defend,HR Labs,cycle-support,null,serving,null
cd43b718-9188-4cd1-8125-897cf3437bdd,JP Hydration,TrainedByJP,hydration,5,serving,60
cd61dcae-52e3-4e85-8bac-c3abe7c68ffc,Micellar Casein,MyProtein,casein,30,scoop,33
cefa4a30-be66-4083-ac36-e55d9325e39e,Vitamin B12 Dual Power,Nutrition Geeks,vitamin,1,tablet,365
cf86f3db-2a7d-4438-b941-0dd4bc7afa25,Complete Sleep,Bulk,sleep-recovery,4,capsule,30
d09943d3-3d37-4349-b34e-6f73a288e7c0,Isolate Pro,Reflex Nutrition,whey-isolate,30,scoop,60
d13719b0-5995-45c6-b45d-eea6e3d3b63a,Night Recovery,PhD Nutrition,casein,30,scoop,30
d14398e7-ff1b-4108-b90d-a6ba3b6c30fd,Menace,Naughty Boy,pre-workout,14,g,30
d1660e89-00db-4abc-bb9f-190c81b617c4,Impact Creatine,MyProtein,creatine,3.4,g,147
d5707d0e-4bd4-4b3e-9ee9-c488a8a52b26,Gold Standard 100% Isolate,Optimum Nutrition,whey-isolate,30,scoop,30
d6daeb9d-85c6-4e5f-80ff-648e689bc0e3,Vitamin D3 and K2 (MK-7),Supplement Needs,vitamin,1,tablet,120
d95c83de-5a09-4bf4-9c78-7480c368e9bd,Synergy ISO-7,PhD Nutrition,post-workout,66,scoop,30
d9f73f59-0366-4949-99e8-2ea520b1c8d7,Macro Munch (Chocolate Hazelnut),Bulk,protein-bar,62,bar,1
da713fb3-1845-465e-9d1d-50138da0d10d,Vitamin D3 & K2,Bulk,heart-health,1,softgel,90
db2064d6-118d-4472-8a30-83db7c32c9bc,Mass,Applied Nutrition,post-workout,200,g,40
db275d92-876d-45dc-998d-eb330aa2c0ca,CoQ10 200mg,Bulk,heart-health,1,capsule,60
dbb9f5ab-76ae-423a-90c0-7455bec4e3f7,LMNT Recharge,LMNT,hydration,6,serving,30
dd1f80c9-01b1-40d4-88db-a1841f23bca1,Whey,Ghost,whey,35,scoop,26
ded4ca83-9a22-4e30-a89e-8f57598e7dfa,EAA Hydration,Applied Nutrition,intra-workout,13,scoop,30
e03485bc-8746-4cab-b590-fef82802128f,IntraMAX,Strom Sports Nutrition,intra-workout,35,scoop,30
e06203a1-15e5-40e0-8b18-0a399ae4448e,Systimax,Strom Nutrition,post-workout,60,scoop,30
e0f73722-771a-4639-b44b-4eeff97ca9f8,Essential Max,Strom Sports Nutrition,whey,30,scoop,66
e12593b1-1ed2-4943-8a1d-7d5b89d41026,EAA+,Warrior,intra-workout,12,scoop,30
e1455253-fb1b-4bbd-a3ff-8116bf97924b,Greens+,Supplement Needs,vitamin,11,g,30
e18459a8-325f-4766-b11c-ee598c6a9795,Vitamin C Powder,Supplement Needs,vitamin,5,g,60
e309e1fa-5f75-44a7-9c0c-06d485622ea8,TestoFuel,Roar Ambition,hormone-support,4,capsule,30
e340cef1-3b5e-4b14-b0ef-98c351950191,Level Up,HR Labs,intra-workout,30,scoop,30
e3fbbe3a-b4ac-4f02-a5d5-7fcb9ea31ef3,ABE Pump 500g (Caffeine-Free),Applied Nutrition,pre-workout,25,g,20
e454733a-a69b-4cb6-950c-d01739a9d3a9,PH 1000,Precision Hydration,hydration,4.5,serving,30
e4fd101e-4969-4054-92ab-f02d4cb3d494,Layered Protein Bar (Salted Caramel),Myprotein,protein-bar,60,bar,1
e559487b-2259-4178-93cf-c446bb944382,Probiotics for Every Day,Optibac,gut-digestion,1,capsule,30
e70ad247-7a3e-4871-932e-8509b36a211b,Creatine Plus®,Bio-Synergy,creatine,null,g,null
e83cc529-6195-4127-a106-d2b9f1c2edea,Gold Standard Gainer,Optimum Nutrition,post-workout,203,scoop,16
e94b13c4-f7fa-42d2-94b2-8dfcda316311,Whey Protein,Warrior,whey,25,scoop,40
e9ef9227-8a0c-4909-b2e0-3ac548aa94af,Origin Pre-Workout,MyProtein,pre-workout,20,g,30
ea967693-15ec-474f-b4e8-68666c2f5919,Amino Black,Naughty Boy,intra-workout,14,scoop,30
eaf361dd-3aa2-4f8f-a964-12a44e8e619c,Electrolyte Powder,Optimum Nutrition,hydration,8,serving,33
ed2dde3b-396f-4f7f-8545-b3afc660b4de,ISO-XP,Applied Nutrition,whey-isolate,25,scoop,80
edb28a42-dc88-4628-8387-793f3ad00e95,Omega 3 High Strength,Supplement Needs,vitamin,1,softgel,90
ee7f4abb-fa9b-4e2f-ad9c-eb4c24570a02,Probiotics 50 Billion CFU,Supplement Needs,vitamin,1,capsule,60
efb4879f-a240-4cda-9da0-8fbf094c5596,Zinc Picolinate 3-in-1,Nutrition Geeks,vitamin,1,tablet,365
f1131016-24df-4459-afcb-b62c15251763,Micellar Casein,Bulk,casein,30,scoop,33
f2d370c9-333c-4c68-ba67-7cbd0e3d7b74,CreaMAX,Strom Sports Nutrition,creatine,6,g,83
f2e0d13e-60c7-4b6a-8aa7-dc3304b7671b,Crack (DMHA),Dark Labs,pre-workout,null,scoop,40
f311ed1d-0f55-44f5-8953-c35d84e6b5ae,Creatine Monohydrate,Bulk,creatine,5,g,200
f3e71a81-361a-4597-96eb-b703ffe2acd7,Elite Casein,Dymatize,casein,36,scoop,25
f42a7d2f-f236-48bc-8dc3-38a2b803dad8,Whey Hey®,Bio-Synergy,whey,35,scoop,26
f59389f4-a69e-4aa5-b49a-dbca746335c3,Essential Amino Energy Elite,Optimum Nutrition,eaas,9,scoop,30
f5ea5968-f3f7-4f2a-ab56-048920c62386,Every Day EXTRA,Optibac,gut-digestion,1,capsule,30
f7cc7239-ca28-47e2-93a9-0068c460da2c,Vitality,Conteh Sports,cycle-support,null,serving,null
f951cf02-9536-4e73-ac62-17bb7a8a33d0,Classic (Choco),Yfood,meal-replacement,500,ml,1
ff0521c4-d5ac-44d3-9b9e-cdcda133d059,SupportMAX,Strom Sports Nutrition,cycle-support,4,capsule,30
ffcbc554-e00d-4738-be16-69599490d11f,Vitamin K2 (MK-4),Supplement Needs,vitamin,1,tablet,120
